"season","yr","weekday","holiday","temp","windspeed","weathersit","hr","hum","cnt"
1,0,0,0,0.2,0.4478,1,16,0.34,92
1,0,0,0,0.18,0.3881,1,17,0.37,62
1,0,0,0,0.16,0.3284,1,18,0.4,48
1,0,0,0,0.16,0.3284,1,19,0.43,41
1,0,0,0,0.14,0.2537,1,20,0.46,38
1,0,0,0,0.14,0.4179,1,21,0.46,20
1,0,0,0,0.14,0.2985,1,22,0.46,15
1,0,0,0,0.12,0.194,1,23,0.5,6
1,0,1,0,0.12,0.2836,1,0,0.5,5
1,0,1,0,0.12,0.2836,1,1,0.5,1
1,0,1,0,0.12,0.2239,1,2,0.5,3
1,0,1,0,0.12,0.2239,1,3,0.5,1
1,0,1,0,0.1,0.1343,1,4,0.54,3
1,0,1,0,0.1,0.2537,1,5,0.54,3
1,0,1,0,0.12,0.2836,1,6,0.5,31
1,0,1,0,0.12,0.2239,1,7,0.5,77
1,0,1,0,0.12,0.2836,2,8,0.5,188
1,0,1,0,0.14,0.2537,2,9,0.5,94
1,0,1,0,0.14,0.2985,2,10,0.5,31
1,0,1,0,0.16,0.2836,2,11,0.47,30
1,0,1,0,0.2,0.2836,2,12,0.4,52
1,0,1,0,0.2,0.2836,2,13,0.4,54
1,0,1,0,0.2,0.2239,2,14,0.4,47
1,0,1,0,0.2,0.2239,2,15,0.4,45
1,0,1,0,0.2,0.1343,1,16,0.4,74
1,0,1,0,0.2,0.1045,1,17,0.4,178
1,0,1,0,0.2,0.2239,1,18,0.4,155
1,0,1,0,0.16,0.1642,1,19,0.47,95
1,0,1,0,0.16,0.1642,1,20,0.5,74
1,0,1,0,0.14,0.194,1,21,0.59,38
1,0,1,0,0.14,0.1642,1,22,0.59,24
1,0,1,0,0.14,0.1642,1,23,0.59,18
1,0,2,0,0.14,0.1045,1,0,0.59,12
1,0,2,0,0.14,0.1642,1,1,0.59,3
1,0,2,0,0.16,0.194,2,2,0.55,3
1,0,2,0,0.16,0.1343,2,5,0.55,6
1,0,2,0,0.16,0.1343,2,6,0.55,27
1,0,2,0,0.16,0,2,7,0.55,99
1,0,2,0,0.18,0.0896,2,8,0.51,217
1,0,2,0,0.18,0.1642,2,9,0.51,130
1,0,2,0,0.2,0.1642,2,10,0.51,54
1,0,2,0,0.2,0.1343,2,11,0.47,35
1,0,2,0,0.2,0.1045,2,12,0.51,57
1,0,2,0,0.2,0.0896,2,13,0.59,52
1,0,2,0,0.2,0.0896,2,14,0.59,63
1,0,2,0,0.16,0.0896,2,15,0.8,47
1,0,2,0,0.16,0.2239,2,16,0.86,76
1,0,2,0,0.16,0.2239,2,17,0.86,136
1,0,2,0,0.16,0.1045,3,18,0.93,95
1,0,2,0,0.16,0,3,19,0.93,51
1,0,2,0,0.16,0.194,3,20,0.93,32
1,0,2,0,0.16,0.0896,3,21,0.86,20
1,0,2,0,0.16,0.1045,3,22,0.93,29
1,0,2,0,0.16,0.0896,3,23,0.93,19
1,0,3,0,0.16,0.0896,2,0,0.86,7
1,0,3,0,0.16,0.1045,2,1,0.86,6
1,0,3,0,0.14,0.1343,1,2,0.86,1
1,0,3,0,0.14,0.1642,1,5,0.86,5
1,0,3,0,0.12,0.1343,1,6,0.93,16
1,0,3,0,0.14,0.1343,1,7,0.69,54
1,0,3,0,0.16,0.1642,1,8,0.59,128
1,0,3,0,0.16,0.3284,1,9,0.59,81
1,0,3,0,0.18,0.2239,1,10,0.55,39
1,0,3,0,0.2,0.3881,1,11,0.51,35
1,0,3,0,0.2,0.5821,1,12,0.47,55
1,0,3,0,0.22,0.3582,1,13,0.44,49
1,0,3,0,0.2,0.3284,1,14,0.47,44
1,0,3,0,0.2,0.4179,1,15,0.47,49
1,0,3,0,0.22,0.3284,1,16,0.44,68
1,0,3,0,0.2,0.3582,1,17,0.47,139
1,0,3,0,0.2,0.5224,1,18,0.47,137
1,0,3,0,0.18,0.4179,1,19,0.47,83
1,0,3,0,0.16,0.3284,1,20,0.5,56
1,0,3,0,0.16,0.3284,1,21,0.55,57
1,0,3,0,0.16,0.4478,1,22,0.55,33
1,0,3,0,0.14,0.4179,1,23,0.59,20
1,0,4,0,0.14,0.2836,1,0,0.59,7
1,0,4,0,0.14,0.2836,1,1,0.5,2
1,0,4,0,0.14,0.3582,1,2,0.5,2
1,0,4,0,0.14,0.3284,1,3,0.5,3
1,0,4,0,0.14,0.2537,1,4,0.5,4
1,0,4,0,0.14,0.2985,1,5,0.5,3
1,0,4,0,0.12,0.1343,1,6,0.54,28
1,0,4,0,0.12,0.1343,1,7,0.54,72
1,0,4,0,0.14,0.194,1,8,0.5,202
1,0,4,0,0.14,0.3284,1,9,0.5,139
1,0,4,0,0.16,0.3582,2,10,0.5,38
1,0,4,0,0.2,0.4478,2,11,0.44,37
1,0,4,0,0.2,0.4179,1,12,0.44,52
1,0,4,0,0.22,0.4478,1,13,0.41,83
1,0,4,0,0.22,0.3881,1,14,0.41,42
1,0,4,0,0.24,0.2985,1,15,0.38,60
1,0,4,0,0.24,0.3582,1,16,0.38,78
1,0,4,0,0.2,0.2836,1,17,0.4,162
1,0,4,0,0.2,0.3284,1,18,0.4,144
1,0,4,0,0.16,0.2537,1,19,0.47,99
1,0,4,0,0.16,0.2239,1,20,0.47,64
1,0,4,0,0.14,0.2985,1,21,0.46,40
1,0,4,0,0.14,0.3284,1,22,0.46,30
1,0,4,0,0.12,0.194,1,23,0.5,15
1,0,5,0,0.12,0.194,1,0,0.5,14
1,0,5,0,0.1,0.1642,1,1,0.54,5
1,0,5,0,0.1,0.1343,1,2,0.54,1
1,0,5,0,0.1,0.1045,1,3,0.54,1
1,0,5,0,0.1,0.0896,1,5,0.54,8
1,0,5,0,0.1,0,1,6,0.54,17
1,0,5,0,0.1,0.1642,1,7,0.74,70
1,0,5,0,0.12,0,1,8,0.68,158
1,0,5,0,0.14,0.1343,1,9,0.69,117
1,0,5,0,0.18,0.194,1,10,0.55,44
1,0,5,0,0.18,0.2836,1,11,0.51,53
1,0,5,0,0.2,0.2537,1,12,0.44,61
1,0,5,0,0.22,0.3881,1,13,0.37,77
1,0,5,0,0.22,0.2836,1,14,0.41,64
1,0,5,0,0.24,0.1642,1,15,0.38,68
1,0,5,0,0.22,0.1045,1,16,0.41,90
1,0,5,0,0.22,0.1642,1,17,0.41,159
1,0,5,0,0.2,0,1,18,0.47,139
1,0,5,0,0.16,0.0896,1,19,0.59,92
1,0,5,0,0.18,0,1,20,0.59,68
1,0,5,0,0.16,0,1,21,0.69,52
1,0,5,0,0.16,0,2,22,0.69,36
1,0,5,0,0.18,0,2,23,0.55,27
1,0,6,0,0.18,0,1,0,0.55,28
1,0,6,0,0.16,0.0896,2,1,0.59,20
1,0,6,0,0.16,0.0896,2,2,0.59,12
1,0,6,0,0.16,0,2,3,0.59,8
1,0,6,0,0.16,0,2,4,0.59,5
1,0,6,0,0.16,0,1,5,0.59,1
1,0,6,0,0.14,0.1045,1,6,0.63,3
1,0,6,0,0.14,0,1,7,0.63,10
1,0,6,0,0.14,0.1343,1,8,0.63,23
1,0,6,0,0.16,0.1343,1,9,0.64,33
1,0,6,0,0.18,0.1642,1,10,0.59,59
1,0,6,0,0.2,0.2239,1,11,0.55,72
1,0,6,0,0.24,0.2239,1,12,0.48,89
1,0,6,0,0.28,0.2985,1,13,0.38,101
1,0,6,0,0.3,0.2836,1,14,0.39,118
1,0,6,0,0.32,0.194,2,15,0.36,129
1,0,6,0,0.34,0.194,2,16,0.34,128
1,0,6,0,0.32,0.2836,2,17,0.36,83
1,0,6,0,0.3,0.2537,2,18,0.45,84
1,0,6,0,0.32,0.2537,2,19,0.39,74
1,0,6,0,0.32,0.2537,2,20,0.39,41
1,0,6,0,0.32,0.2239,2,21,0.39,57
1,0,6,0,0.3,0.1045,2,22,0.42,26
1,0,6,0,0.3,0.2836,1,23,0.45,44
1,0,0,0,0.26,0,1,0,0.56,39
1,0,0,0,0.26,0.1343,1,1,0.56,23
1,0,0,0,0.26,0.0896,1,2,0.56,16
1,0,0,0,0.22,0,1,3,0.69,15
1,0,0,0,0.26,0.1642,1,4,0.56,1
1,0,0,0,0.26,0.1642,2,5,0.56,2
1,0,0,0,0.26,0.1642,2,6,0.56,1
1,0,0,0,0.24,0.2985,2,7,0.56,3
1,0,0,0,0.22,0.2836,1,8,0.55,18
1,0,0,0,0.22,0.2537,1,9,0.51,32
1,0,0,0,0.22,0.2836,1,10,0.51,79
1,0,0,0,0.24,0.2537,1,11,0.44,93
1,0,0,0,0.24,0.2836,1,12,0.41,104
1,0,0,0,0.26,0.2985,1,13,0.35,118
1,0,0,0,0.28,0.2537,1,14,0.36,91
1,0,0,0,0.26,0.2537,1,15,0.38,113
1,0,0,0,0.24,0.2239,1,16,0.38,99
1,0,0,0,0.22,0.2537,1,17,0.37,105
1,0,0,0,0.2,0.1642,1,18,0.4,67
1,0,0,0,0.18,0.1343,1,19,0.47,61
1,0,0,0,0.18,0.1642,1,20,0.47,57
1,0,0,0,0.18,0.1642,1,21,0.51,28
1,0,0,0,0.2,0.1343,2,22,0.49,21
1,0,0,0,0.2,0.1045,2,23,0.4,18
1,0,1,1,0.2,0.2239,2,0,0.47,17
1,0,1,1,0.2,0.194,2,1,0.44,16
1,0,1,1,0.18,0.2537,2,2,0.43,8
1,0,1,1,0.18,0.194,2,3,0.43,2
1,0,1,1,0.18,0.1343,2,4,0.43,3
1,0,1,1,0.18,0.1642,2,5,0.43,1
1,0,1,1,0.18,0.194,2,6,0.43,5
1,0,1,1,0.16,0.1343,2,7,0.5,13
1,0,1,1,0.16,0.2239,2,8,0.47,33
1,0,1,1,0.16,0.2239,2,9,0.47,47
1,0,1,1,0.16,0.2537,2,10,0.5,57
1,0,1,1,0.16,0.194,2,11,0.55,64
1,0,1,1,0.18,0.1343,2,12,0.47,80
1,0,1,1,0.18,0.1343,2,13,0.47,93
1,0,1,1,0.18,0.1045,2,14,0.43,86
1,0,1,1,0.2,0.1642,2,15,0.47,93
1,0,1,1,0.2,0.1642,2,16,0.47,82
1,0,1,1,0.2,0.194,1,17,0.51,71
1,0,1,1,0.18,0.2537,2,18,0.55,92
1,0,1,1,0.18,0.194,3,19,0.59,60
1,0,1,1,0.16,0.194,3,20,0.8,33
1,0,1,1,0.16,0.194,3,21,0.8,27
1,0,1,1,0.14,0.2537,3,22,0.93,13
1,0,1,1,0.16,0.2836,3,23,0.86,4
1,0,2,0,0.2,0.3284,2,12,0.86,3
1,0,2,0,0.2,0.2239,2,13,0.86,22
1,0,2,0,0.22,0.1642,2,14,0.8,28
1,0,2,0,0.22,0.1642,2,15,0.87,35
1,0,2,0,0.22,0.194,2,16,0.87,61
1,0,2,0,0.22,0.194,2,17,0.82,125
1,0,2,0,0.22,0.1642,2,18,0.8,133
1,0,2,0,0.22,0.1343,2,19,0.8,99
1,0,2,0,0.22,0,2,20,0.87,83
1,0,2,0,0.22,0.1045,2,21,0.93,41
1,0,2,0,0.22,0.0896,2,22,0.93,33
1,0,2,0,0.22,0,2,23,0.93,20
1,0,3,0,0.22,0,2,0,0.93,3
1,0,3,0,0.22,0.1343,3,1,0.93,7
1,0,3,0,0.22,0.1343,3,2,0.93,3
1,0,3,0,0.22,0.1343,3,4,0.93,2
1,0,3,0,0.22,0.0896,2,5,0.93,7
1,0,3,0,0.22,0.0896,2,6,0.93,32
1,0,3,0,0.24,0.1045,2,7,0.92,90
1,0,3,0,0.24,0.1045,2,8,0.93,197
1,0,3,0,0.24,0.1045,2,9,0.93,109
1,0,3,0,0.26,0.1343,2,10,0.93,47
1,0,3,0,0.28,0.0896,2,11,0.87,52
1,0,3,0,0.3,0.0896,2,12,0.81,70
1,0,3,0,0.4,0.2836,1,13,0.62,78
1,0,3,0,0.4,0.2537,1,14,0.58,75
1,0,3,0,0.4,0.2836,1,15,0.54,82
1,0,3,0,0.38,0.3881,1,16,0.58,104
1,0,3,0,0.36,0.3284,1,17,0.57,197
1,0,3,0,0.34,0.2836,1,18,0.61,161
1,0,3,0,0.32,0.4179,1,19,0.57,112
1,0,3,0,0.32,0.2985,1,20,0.49,76
1,0,3,0,0.32,0.4179,1,21,0.49,59
1,0,3,0,0.3,0.1642,1,22,0.52,59
1,0,3,0,0.3,0.4627,1,23,0.52,28
1,0,4,0,0.26,0.3881,1,0,0.56,13
1,0,4,0,0.26,0,1,1,0.56,5
1,0,4,0,0.26,0,1,2,0.56,2
1,0,4,0,0.26,0.1642,1,3,0.56,1
1,0,4,0,0.26,0.1642,1,4,0.56,1
1,0,4,0,0.24,0.2239,1,5,0.6,6
1,0,4,0,0.22,0.2239,1,6,0.6,35
1,0,4,0,0.22,0.2239,1,7,0.55,101
1,0,4,0,0.22,0.2836,1,8,0.55,249
1,0,4,0,0.24,0.2239,2,9,0.52,143
1,0,4,0,0.26,0.2985,1,10,0.48,57
1,0,4,0,0.28,0.1642,2,11,0.45,68
1,0,4,0,0.3,0,2,12,0.42,84
1,0,4,0,0.28,0.1045,2,13,0.45,98
1,0,4,0,0.3,0.1343,2,14,0.45,81
1,0,4,0,0.32,0.194,2,15,0.45,70
1,0,4,0,0.3,0.1343,2,16,0.49,91
1,0,4,0,0.3,0.1045,2,17,0.49,215
1,0,4,0,0.26,0.194,2,18,0.56,185
1,0,4,0,0.26,0.3284,1,19,0.56,152
1,0,4,0,0.26,0.2836,2,20,0.6,126
1,0,4,0,0.24,0.2537,2,21,0.6,57
1,0,4,0,0.24,0.2836,2,22,0.65,56
1,0,4,0,0.24,0.3284,2,23,0.65,31
1,0,5,0,0.24,0.2537,2,0,0.7,21
1,0,5,0,0.24,0.2537,2,1,0.7,6
1,0,5,0,0.24,0.1642,3,2,0.75,2
1,0,5,0,0.22,0.2985,3,3,0.8,1
1,0,5,0,0.22,0.0896,2,4,0.87,1
1,0,5,0,0.24,0.4179,1,5,0.6,5
1,0,5,0,0.22,0.2537,1,6,0.55,27
1,0,5,0,0.2,0.2836,1,7,0.51,68
1,0,5,0,0.2,0.3284,1,8,0.47,217
1,0,5,0,0.2,0.3582,1,9,0.51,166
1,0,5,0,0.2,0.4627,1,10,0.47,63
1,0,5,0,0.22,0.4627,1,11,0.41,59
1,0,5,0,0.22,0.5821,1,12,0.27,78
1,0,5,0,0.2,0.5821,1,13,0.21,73
1,0,5,0,0.2,0.5224,1,14,0.25,62
1,0,5,0,0.16,0.4478,1,15,0.26,65
1,0,5,0,0.16,0.3582,1,16,0.26,97
1,0,5,0,0.14,0.3582,1,17,0.28,161
1,0,5,0,0.12,0.2537,1,18,0.3,120
1,0,5,0,0.12,0.3284,1,19,0.3,96
1,0,5,0,0.1,0.4179,1,20,0.33,53
1,0,5,0,0.08,0.2836,1,21,0.38,41
1,0,5,0,0.06,0.3881,1,22,0.41,34
1,0,5,0,0.06,0.3284,1,23,0.38,27
1,0,6,0,0.04,0.2537,1,0,0.45,13
1,0,6,0,0.04,0.3881,2,1,0.41,12
1,0,6,0,0.04,0.2537,2,2,0.41,11
1,0,6,0,0.04,0.2836,2,3,0.41,7
1,0,6,0,0.02,0.2985,2,4,0.48,3
1,0,6,0,0.02,0.2239,2,6,0.44,2
1,0,6,0,0.02,0.2836,1,7,0.44,8
1,0,6,0,0.02,0.3284,1,8,0.44,27
1,0,6,0,0.04,0.2537,1,9,0.41,40
1,0,6,0,0.04,0.1642,2,10,0.41,53
1,0,6,0,0.06,0.1343,2,11,0.38,63
1,0,6,0,0.06,0.1045,2,12,0.38,70
1,0,6,0,0.08,0,1,13,0.35,84
1,0,6,0,0.1,0.1045,1,14,0.33,75
1,0,6,0,0.12,0,1,15,0.28,103
1,0,6,0,0.12,0.194,1,16,0.28,83
1,0,6,0,0.12,0,1,17,0.28,67
1,0,6,0,0.08,0.194,1,18,0.35,54
1,0,6,0,0.08,0.1343,1,19,0.35,59
1,0,6,0,0.06,0.1642,1,20,0.45,45
1,0,6,0,0.06,0.0896,1,21,0.41,39
1,0,6,0,0.06,0,1,22,0.49,30
1,0,6,0,0.04,0.1045,1,23,0.57,33
1,0,0,0,0.04,0.1045,1,0,0.57,22
1,0,0,0,0.04,0.1045,1,1,0.57,13
1,0,0,0,0.02,0.1343,1,2,0.62,18
1,0,0,0,0.02,0.1343,1,3,0.62,5
1,0,0,0,0.04,0.1045,2,5,0.57,3
1,0,0,0,0.04,0.1045,2,6,0.57,1
1,0,0,0,0.08,0.1642,1,7,0.58,2
1,0,0,0,0.06,0.1642,1,8,0.62,19
1,0,0,0,0.1,0.3582,1,9,0.54,28
1,0,0,0,0.14,0.3881,1,10,0.46,58
1,0,0,0,0.14,0.2239,1,11,0.43,99
1,0,0,0,0.16,0.4627,1,12,0.37,116
1,0,0,0,0.14,0.3881,1,13,0.33,87
1,0,0,0,0.16,0.3582,1,14,0.28,110
1,0,0,0,0.16,0.3582,1,15,0.28,77
1,0,0,0,0.16,0.3284,1,16,0.26,65
1,0,0,0,0.14,0.3881,1,17,0.26,55
1,0,0,0,0.12,0.2537,1,18,0.3,49
1,0,0,0,0.12,0.2836,1,19,0.3,50
1,0,0,0,0.1,0.2537,1,20,0.36,35
1,0,0,0,0.1,0.194,1,21,0.36,25
